numero_guia;id_clinica;created_at;id_pet;id_plano;observacao;id_prestador;id_procedimento;valor_momento;justificativa;laudo;imagem_laudo;autorizacao;tipo_atendimento;status;updated_at
84349;189;2017-08-28;1019650289;14;;178;221002;0.30;;;;;;LIBERADO;
84349;189;2017-08-28;1019650289;14;;178;221001;0.60;;;;;;LIBERADO;
83199;51;2017-08-21;1019190181;11;;0;10102;1.00;;;;;;LIBERADO;
82989;17;2017-08-19;1019780140;15;;17;211114;0.10;;;;;;LIBERADO;
82999;32;2017-08-19;1019780140;15;;32;251041;0.40;;;;;;LIBERADO;
82969;17;2017-08-19;1019780140;15;;17;10100;0.70;;;;;;LIBERADO;
83919;10;2017-08-24;1015490244;15;;0;10100;0.70;;;;;;LIBERADO;
82939;3;2017-08-18;1020230182;18;;0;10100;0.70;;;;;;LIBERADO;
83179;51;2017-08-21;1019560115;15;NEGATIVA DE AUTORIZACAO;0;10100;0.70;;;;;;RECUSADO;
82089;3;2017-08-15;1019180118;15;;0;10100;0.70;;;;;;LIBERADO;
82429;5;2017-08-16;1019180118;15;NEGATIVA DE AUTORIZACAO;0;10100;0.70;;;;;;RECUSADO;
82439;5;2017-08-16;1019180118;15;;0;10100;0.70;;;;;;LIBERADO;
82649;112;2017-08-17;1018790168;10;;112;251001;0.14;;;;;;LIBERADO;
82649;112;2017-08-17;1018790168;10;;112;10100;0.70;;;;;;LIBERADO;
82609;189;2017-08-17;1014340141;3;;178;211114;0.20;;;;;;LIBERADO;
82609;189;2017-08-17;1014340141;3;;178;10100;1.00;;;;;;LIBERADO;
83489;32;2017-08-22;1019120131;15;;130;251041;0.40;;;;;;LIBERADO;
83479;129;2017-08-22;1019120131;15;;0;10100;0.70;;;;;;LIBERADO;
83759;189;2017-08-23;1019000152;10;;0;10100;1.00;;;;;;LIBERADO;
82449;10;2017-08-16;1016490116;11;;0;10100;0.70;;;;;;LIBERADO;
82409;3;2017-08-16;1015250103;11;;88;261055;0.95;;;;;;LIBERADO;
82789;189;2017-08-18;1015250103;11;;178;221002;0.30;;;;;;LIBERADO;
82789;189;2017-08-18;1015250103;11;;178;221001;0.60;;;;;;LIBERADO;
82789;189;2017-08-18;1015250103;11;;178;221003;0.60;;;;;;LIBERADO;
82759;3;2017-08-17;1015570191;10;;124;211113;0.25;;;;;;LIBERADO;
82749;3;2017-08-17;1015570191;10;;0;10104;0.85;;;;;;LIBERADO;
84009;3;2017-08-25;1013880126;10;;0;10100;0.70;;;;;;LIBERADO;
83089;189;2017-08-21;1017580143;10;NAO REALIALIZOU O PROCEDIMENTO;178;221002;0.30;;;;;;RECUSADO;
83089;189;2017-08-21;1017580143;10;NAO REALIALIZOU O PROCEDIMENTO;178;221001;0.60;;;;;;RECUSADO;
83089;189;2017-08-21;1017580143;10;NAO REALIALIZOU O PROCEDIMENTO;178;221003;0.60;;;;;;RECUSADO;
83029;181;2017-08-19;1009190145;3;;181;10100;0.70;;;;;;LIBERADO;
82699;3;2017-08-17;1008970112;18;;4;251041;0.35;;;;;;LIBERADO;
