competencia;vencimento;data_pagamento;valor_original;valor_pago;id_cliente
2017/06;25/06/2017;26/06/2017;239,8;239,8;1008270048
2017/07;25/07/2017;25/07/2017;239,8;239,8;1008270048
2017/06;10/06/2017;12/06/2017;89,9;89,9;1008280019
2017/04;10/04/2017;10/04/2017;89,9;89,9;1008280019
2017/02;10/02/2017;10/02/2017;89,9;89,9;1008280019
2017/03;10/03/2017;10/03/2017;89,9;89,9;1008280019
2017/05;10/05/2017;10/05/2017;89,9;89,9;1008280019
2016/12;10/12/2016;12/12/2016;89,9;89,9;1008280019
2016/11;02/12/2016;02/12/2016;89,9;99,54;1008280019
2016/10;10/10/2016;10/10/2016;89,9;89,9;1008280019
2017/07;10/07/2017;10/07/2017;89,9;89,9;1008280019
2017/01;10/01/2017;10/01/2017;89,9;89,9;1008280019
2017/08;10/08/2017;10/08/2017;101,79;101,79;1008280019
2017/01;03/03/2017;24/02/2017;129,9;144,47;1008290073
2016/11;03/01/2017;03/01/2017;129,9;144,56;1008290073
2017/03;25/03/2017;16/03/2017;129,9;129,9;1008290073
2017/04;10/05/2017;10/05/2017;129,9;143,53;1008290073
2016/10;25/10/2016;25/10/2016;179,9;179,9;1008290073
2017/02;25/02/2017;01/03/2017;129,9;129,9;1008290073
2016/12;25/12/2016;14/12/2016;129,9;129,9;1008290073
2017/06;28/06/2017;28/06/2017;129,9;143,01;1008290073
